latitude,longitude,brightness,confidence,bright_t31,frp,daynight,timestamp
-12.8398,132.8744,311.6,42,298.7,23.1,D,1564646220
-12.4953,131.4897,310.3,36,298.8,27.6,D,1564646220
-11.5473,132.6796,311.5,40,298.7,27.3,D,1564646220
-11.5417,132.649,312.2,42,298,31.4,D,1564646220
-11.5471,132.6538,316,65,298,52.7,D,1564646220
-12.705,133.907,311.7,57,298.6,20.6,D,1564646220
-13.1092,134.1848,315.9,67,298.4,29.5,D,1564646220
-12.6996,133.9138,310.9,55,298.7,17.6,D,1564646220
-12.7499,134.5251,314.8,66,299.9,22.8,D,1564646220
-12.7141,134.3991,313.9,64,299.2,23,D,1564646220
-12.7061,134.4077,314,64,300,21.2,D,1564646220
-12.6491,134.3953,324.9,79,300.6,57.7,D,1564646220
-13.1015,134.1926,311.3,55,298.1,17.2,D,1564646220
-13.2313,131.9106,316.7,68,300,49.9,D,1564646220
-13.2394,131.9032,319.1,72,300.6,61.1,D,1564646220
-13.2993,131.9598,315.3,54,300.3,37,D,1564646220
-13.3151,131.9569,314.2,44,300.6,31.6,D,1564646220
-14.2726,135.0443,314.3,62,301,15.3,D,1564646220
-14.3048,134.9182,321.8,75,301.4,35.7,D,1564646220
-14.308,134.9367,316.1,66,300,20.5,D,1564646220
-12.8447,132.9017,324,78,299.6,80.1,D,1564646220
-12.8782,132.9177,312.6,53,300.7,24.7,D,1564646220
-15.0081,131.7665,312.6,46,299.2,30.2,D,1564646280
-15.7637,137.0728,377.6,75,306.4,208.1,D,1564646280
-15.7678,137.0335,319.5,35,303,14.5,D,1564646280
-15.7699,137.046,345.8,93,303.7,71.3,D,1564646280
-15.7863,137.0816,321.4,59,300.8,17.1,D,1564646280
-14.651,130.5884,313.6,53,297.1,46.2,D,1564646280
-14.6536,130.5824,312.4,47,297.1,40,D,1564646280
-14.6614,130.6219,312.6,43,296.4,42,D,1564646280
-14.727,130.6886,311.9,40,296.4,39.4,D,1564646280
-14.9422,131.8184,318.3,70,300.6,54.8,D,1564646280
-15.7616,137.0603,336.7,79,299.5,44.5,D,1564646280
-15.1411,131.1486,315,54,297.6,46.2,D,1564646280
-15.1317,131.1449,313.2,27,297.8,37.3,D,1564646280
-16.144,136.7135,367.6,100,307.8,162.2,D,1564646280
-15.1544,131.1757,312.2,20,298.3,31.4,D,1564646280
-16.1479,136.6726,349.3,95,304.3,84.5,D,1564646280
-16.1501,136.6857,345.1,92,305.9,69.9,D,1564646280
-16.1545,136.7117,339.3,89,307,52,D,1564646280
-16.1646,136.6428,328.5,80,303.6,30.8,D,1564646280
-15.1018,130.5473,310.8,47,295.6,33.9,D,1564646280
-15.1089,130.5845,309.7,13,295.1,27.9,D,1564646280
-15.1657,129.9294,315.3,64,296.9,76.1,D,1564646280
-15.1644,129.9221,313.4,58,296.6,63.3,D,1564646280
-15.5022,130.6313,318.5,55,298.4,68.1,D,1564646280
-15.4825,130.4364,314.4,49,298.2,48.5,D,1564646280
-15.4967,130.6638,314.7,16,298,44.7,D,1564646280
-15.5059,130.623,317.6,54,298.3,65.5,D,1564646280
-15.485,130.4285,312.4,44,297.8,39.6,D,1564646280
-14.0156,131.5979,315,63,298.8,49.2,D,1564646280
-15.1927,130.34,325.6,70,309.2,26.4,D,1564662240
-15.4903,130.6806,328.7,17,311.5,28.2,D,1564662240
-15.5022,130.6125,333.7,74,312.9,42.5,D,1564662240
-15.5052,130.5955,337.4,85,313.1,56.7,D,1564662240
-15.5081,130.5788,328.8,55,312.4,28.9,D,1564662240
-15.511,130.562,328.1,62,312.5,28.5,D,1564662240
-15.5139,130.5452,328.2,63,312.8,28.7,D,1564662240
-15.5012,130.6593,331,65,311.2,36.9,D,1564662240
-15.5041,130.6423,328.6,59,312.4,29.2,D,1564662240
-15.5069,130.6255,327.4,45,311.5,24.6,D,1564662240
-15.5097,130.6084,334.3,77,311.7,46.1,D,1564662240
-15.5126,130.5914,331,65,310.9,35.5,D,1564662240
-15.4905,130.4331,327,55,311.4,23,D,1564662240
-15.4755,130.3795,337.2,74,310.4,56.8,D,1564662240
-15.4381,130.5266,346.6,92,311.8,91.1,D,1564662240
-15.441,130.5098,345.3,91,314.1,84.8,D,1564662240
-15.4292,130.5077,332.8,79,311.7,36.5,D,1564662240
-15.4435,130.5206,331.5,65,313.5,32.8,D,1564662240
-15.4317,130.5184,357.6,98,312,152.4,D,1564662240
-15.4345,130.5017,328.6,53,312.9,23.8,D,1564662240
-15.3797,130.7558,331.9,57,311.5,37.8,D,1564662240
-15.4227,130.4995,345.3,91,311.2,83.2,D,1564662240
-15.4109,130.4973,353.2,96,310.5,123.9,D,1564662240
-15.4137,130.4806,345.1,91,311.2,83,D,1564662240
-15.3556,130.7514,327.1,53,311.6,24.3,D,1564662240
-15.4019,130.4785,328.7,74,309.2,28.3,D,1564662240
-15.4047,130.4618,325.2,53,308.9,20.9,D,1564662240
-15.393,130.4597,328.9,61,307.6,30.9,D,1564662240
-15.2073,131.3123,322.7,64,309.8,23.4,D,1564662240
-15.2051,131.252,323.1,66,308.8,23.3,D,1564662240
-15.2049,131.3268,321.1,61,308.2,19.1,D,1564662240
-15.2055,131.2469,324.4,70,308.7,29.7,D,1564662240
-15.1654,131.18,322.4,21,309.3,19,D,1564662240
-15.1529,131.1778,339.6,87,308.2,83.9,D,1564662240
-15.0203,131.7745,323.6,49,307.1,31.2,D,1564662240
-15.024,131.7537,323.1,45,307.1,29.6,D,1564662240
-15.1513,131.1702,326.5,33,308,31.4,D,1564662240
-15.0231,131.7676,328.3,74,307.2,48.5,D,1564662240
-15.0063,131.7863,321.8,38,309.2,22.6,D,1564662240
-15.01,131.7649,320.8,30,308.8,19.9,D,1564662240
-15.1019,131.0828,324,55,308,25.6,D,1564662240
-15.1052,131.0639,320.5,50,306.8,15.7,D,1564662240
-15.0928,131.0617,327.1,74,306.3,35.3,D,1564662240
-15.2354,130.231,328.4,55,310.3,29.4,D,1564662240
-14.9462,131.8191,328.3,51,309,44.7,D,1564662240
-14.933,131.8167,325.4,35,307.6,34.8,D,1564662240
-15.1955,130.3236,324.5,68,309.7,23.1,D,1564662240
-15.1987,130.3355,327.5,55,308.9,28.1,D,1564662240
-14.938,131.8124,331.4,73,308.6,59.8,D,1564662240
-15.1352,130.4265,323.1,47,310.5,17.9,D,1564662240
-15.138,130.4098,328.8,76,309,33,D,1564662240
-14.3146,134.9123,320.9,68,301,90.5,D,1564662240
-15.0855,130.5753,336.4,84,310.6,56.7,D,1564662240
-15.1813,129.9411,334.9,58,310.2,45.1,D,1564662240
-15.1839,129.9258,339.1,83,308.6,60.6,D,1564662240
-15.1621,129.9849,337.6,85,310.9,53.9,D,1564662240
-14.3102,134.9034,321.6,69,300.9,91.9,D,1564662240
-15.0649,130.5837,324,63,309.2,20.5,D,1564662240
-15.1615,129.9945,329.4,76,311,27.9,D,1564662240
-15.1642,129.9779,328.9,67,309,25.3,D,1564662240
-14.7478,130.6871,328.6,73,309.3,37,D,1564662240
-14.6903,130.6577,338.1,86,308.2,69.7,D,1564662240
-14.6781,130.5841,331.5,75,310.5,38,D,1564662240
-14.6675,130.6108,340.9,84,307.7,72.5,D,1564662240
-14.6704,130.5937,328.4,39,308.9,27.8,D,1564662240
-14.6525,130.6261,349.8,94,308.3,123.2,D,1564662240
-14.6554,130.6088,340.7,81,306.1,72.7,D,1564662240
-14.6583,130.5915,331.1,30,307.2,35.7,D,1564662240
-14.6462,130.5895,374,100,309.8,298.1,D,1564662240
-14.6492,130.5721,327.4,34,308,27.5,D,1564662240
-14.3185,130.6756,325.9,74,305.1,32.5,D,1564662240
-14.3149,130.6678,320.9,60,305.4,18,D,1564662240
-14.2568,130.7132,325.2,54,304.4,30.7,D,1564662240
-14.2476,130.6929,321.2,61,303.7,21,D,1564662240
-14.3457,129.8308,321.8,57,301.9,18.7,D,1564662240
-14.2,130.6596,324.2,42,301.8,28.8,D,1564662240
-14.0453,131.4964,324.2,66,303.4,33.6,D,1564662240
-14.0286,131.5149,321.4,49,303.9,23.1,D,1564662240
-13.9821,131.244,347.7,93,305.3,152.2,D,1564662240
-13.9856,131.224,338.9,88,304.3,101.5,D,1564662240
-14.163,130.0316,341.8,89,303.1,86.1,D,1564662240
-14.0959,130.0311,318.7,40,304.2,16.4,D,1564662240
-13.9893,130.5932,328.1,77,307.5,36.9,D,1564662240
-13.977,130.591,328.5,78,306.1,37.9,D,1564662240
-13.9801,130.573,331.5,81,307.7,48,D,1564662240
-14.0032,129.9573,326.1,74,300.5,33.5,D,1564662240
-12.954,135.0368,313.6,39,298,55.3,D,1564662240
-13.3642,131.9983,320,56,306.4,23.2,D,1564662240
-13.3071,131.9554,322.3,69,307.1,30.5,D,1564662240
-13.0241,132.9584,331.9,82,300.3,116.4,D,1564662240
-13.029,132.9311,325.1,74,302.2,70.9,D,1564662240
-11.4124,130.8343,322.7,73,294.6,51.2,D,1564662300
-11.4017,130.3339,312.7,41,301.3,12,D,1564662300
-11.4338,130.4654,328.1,73,303.1,50.1,D,1564662300
-11.4306,130.4848,337.8,88,303.9,93.5,D,1564662300
-11.4273,130.5045,318.2,25,304.3,20.1,D,1564662300
