latitude,longitude,brightness,confidence,bright_t31,frp,daynight,timestamp
-12.987,132.578,335.6,81,304.4,103.3,D,1569920400
-12.07,134.281,321.1,56,298.3,69.9,D,1569920400
-12.059,134.276,319.2,20,298.3,55.6,D,1569920400
-12.983,132.544,324.1,47,301.8,34.3,D,1569920400
-12.465,132.504,330.1,76,304.6,58.5,D,1569920400
-12.568,132.089,325.3,50,307.6,32.3,D,1569920400
-12.987,132.571,340.8,86,304.4,147.5,D,1569920400
-12.984,132.551,336.1,81,302,108,D,1569920400
-11.414,130.229,330.1,0,299.9,52.3,D,1569920400
-11.419,130.221,325.2,47,299,35.9,D,1569920400
-13.291,132.319,337.4,82,304.4,98.3,D,1569920400
-13.287,132.3,325.3,31,303,25,D,1569920400
-13.29,132.326,334.6,78,305.2,78,D,1569920400
-13.454,132.431,327.2,46,306.6,43.6,D,1569920400
-11.819,130.93,327.8,69,306.5,39.1,D,1569920400
-11.834,130.948,325,67,305.4,31.7,D,1569920400
-12.416,132.73,323.1,60,304.6,30.7,D,1569920400
-12.055,134.24,320.3,0,298.8,60.1,D,1569920400
-12.417,132.737,322.9,56,304.4,33.8,D,1569920400
-11.832,130.928,323.7,63,305.9,26,D,1569920400
-12.066,134.245,325,51,298.1,97.5,D,1569920400
-13.908,132.965,325.2,27,309.1,40.5,D,1569920700
-13.923,132.963,325.7,24,309.4,42.7,D,1569920700
-13.919,132.957,328,44,309.5,56.8,D,1569920700
-13.885,132.93,328.8,37,310.6,56.1,D,1569920700
-15.478,129.991,333,73,310.5,42.8,D,1569920700
-15.479,129.985,331.6,68,309.9,37.8,D,1569920700
-14.194,132.849,329.5,66,312.5,50.2,D,1569920700
-14.179,132.851,329.6,47,314,50.5,D,1569920700
-14.163,132.852,342.9,87,313.7,160.5,D,1569920700
-14.16,132.822,345.5,90,314.2,188.3,D,1569920700
-14.167,132.857,338,82,313.6,113.1,D,1569920700
-14.163,132.827,343.5,88,314.8,166.2,D,1569920700
-14.148,132.829,336.6,81,311,104.5,D,1569920700
-13.845,132.821,350.4,94,310.8,260.1,D,1569920700
-13.848,132.85,338.6,83,309.4,138.7,D,1569920700
-13.851,132.88,339.1,84,309.6,145.5,D,1569920700
-14.09,130.028,336.6,65,310.4,45.7,D,1569920700
-14.078,130.03,333.6,60,309.2,35.5,D,1569920700
-14.937,133.918,325.8,44,309.5,60.1,D,1569920700
-13.854,132.909,325.9,37,309.1,47.4,D,1569920700
-15.53,134.469,328.3,40,295.4,137.3,D,1569920700
-14.95,133.923,325.6,20,308.7,54.4,D,1569920700
-15.68,134.527,334,75,302.3,194.1,D,1569920700
-15.493,134.639,327.9,35,301.8,106.4,D,1569920700
-15.49,134.779,327.4,54,303.3,110,D,1569920700
-13.873,132.938,333.8,68,310.2,97.9,D,1569920700
-15.68,134.521,337.3,80,301.7,242.1,D,1569920700
-15.491,134.784,327.9,62,303.4,124.5,D,1569920700
-15.53,134.462,327.2,35,296.7,132.3,D,1569920700
-14.933,133.925,325.6,22,310.1,54.7,D,1569920700
-15.495,134.646,328.5,33,301.7,116.7,D,1569920700
-13.87,132.907,331,50,310.1,73.8,D,1569920700
-15.574,134.454,347.4,75,318,34.3,D,1569930600
-15.491,134.778,343.1,84,321.1,27.3,D,1569930600
-15.514,134.5,427,100,332.4,486.9,D,1569930600
-15.494,134.507,340.3,14,318.2,25.1,D,1569930600
-13.878,132.926,357.7,98,322.2,53.6,D,1569930600
-13.87,132.916,343.6,39,320.9,22,D,1569930600
-15.539,134.812,356.3,97,319.4,56.9,D,1569930600
-15.492,134.517,348.1,79,320.9,40.3,D,1569930600
-15.548,134.814,340,50,319.5,17.3,D,1569930600
-15.569,135.093,340.6,55,317,19,D,1569930600
-15.559,135.091,337.6,47,317.7,14.1,D,1569930600
-15.477,134.493,331.2,33,314.4,12.7,D,1569930600
-15.475,134.504,400.9,100,321.8,269.8,D,1569930600
-14.119,131.364,342.7,84,316.2,24.8,D,1569930600
-15.502,134.518,417.6,100,325.7,393.8,D,1569930600
-15.513,134.51,387.9,100,323.6,181.9,D,1569930600
-13.462,132.426,369.4,100,326,86,D,1569930600
-14.134,131.386,356.4,97,322,51.8,D,1569930600
-14.957,133.912,353.1,94,311.1,50.9,D,1569930600
-14.136,131.376,351.5,93,323.9,38.8,D,1569930600
-14.147,131.358,350.7,92,318.1,39.2,D,1569930600
-14.145,131.377,349.3,83,322.5,33,D,1569930600
-14.955,133.921,341.6,76,314.2,25.8,D,1569930600
-14.124,131.326,337,48,309.6,21.1,D,1569930600
-15.509,134.53,402.8,100,328.8,271.5,D,1569930600
-15.525,134.491,347.3,89,315.1,34.5,D,1569930600
-14.146,131.368,362,100,321.5,66.8,D,1569930600
-14.945,133.93,350.9,93,313.2,41.8,D,1569930600
-14.946,133.92,341.4,46,316.9,22.5,D,1569930600
-14.114,131.334,390.8,100,317.2,190.7,D,1569930600
-14.938,133.909,338.5,21,315.3,15.6,D,1569930600
-15.556,134.826,336.9,37,320.4,12.4,D,1569930600
-13.426,132.424,355.3,96,320.1,49.5,D,1569930600
-13.417,132.423,344.8,86,318.9,27.7,D,1569930600
-14.143,131.387,355.5,96,322.6,50.4,D,1569930600
-13.863,132.905,339.5,40,320.1,15.8,D,1569930600
-15.581,134.475,353.7,95,318.3,48.5,D,1569930600
-15.495,134.784,346.8,89,320.6,33.8,D,1569930600
-15.579,134.485,341.6,57,317.4,22,D,1569930600
-15.582,134.465,384.2,100,321,160.5,D,1569930600
-15.576,134.444,344,58,317.5,30.7,D,1569930600
-15.533,134.503,341.1,43,317.8,18.9,D,1569930600
-15.517,134.541,349.5,91,321.4,35,D,1569930600
-13.876,132.936,344.9,64,320.8,26.5,D,1569930600
-15.516,134.489,457,100,339.3,879.8,D,1569930600
-15.474,134.514,350.3,92,314,46.6,D,1569930600
-15.48,134.535,357.5,97,316.9,63.4,D,1569930600
-13.278,132.305,408.3,100,326,278.2,D,1569930600
-15.479,134.608,379.4,100,316.4,146,D,1569930600
-15.497,134.548,347,45,321.4,27.1,D,1569930600
-14.14,131.348,370.2,100,318.8,94.6,D,1569930600
-14.94,133.899,338.9,32,314.3,17.8,D,1569930600
-13.28,132.286,399.7,100,322.3,228.1,D,1569930600
-15.679,134.498,343.1,84,314.3,28.7,D,1569930600
-15.678,134.508,335.2,45,306.8,13.4,D,1569930600
-15.506,134.55,355.3,96,320,48,D,1569930600
-15.675,134.528,339.1,74,317.9,19.8,D,1569930600
-15.593,134.457,343,81,314.7,25.8,D,1569930600
-15.556,134.451,338.9,16,315.9,17.7,D,1569930600
-15.531,134.513,343.5,75,319,23.8,D,1569930600
-13.269,132.303,353.4,95,317.7,42.5,D,1569930600
-15.523,134.501,363.7,100,317.7,76.7,D,1569930600
-15.511,134.52,389,100,326.8,186,D,1569930600
-15.505,134.498,437.5,100,333.8,608.2,D,1569930600
-15.478,134.545,358.2,93,316,64.2,D,1569930600
-15.485,134.505,354.8,96,320.1,59.7,D,1569930600
-14.121,131.345,420.5,100,332.2,391.5,D,1569930600
-14.141,131.338,362.1,100,318.6,70.2,D,1569930600
-15.523,134.378,338.5,52,309.2,25.9,D,1569930600
-15.513,134.377,394.6,94,309.2,226.7,D,1569930600
-14.129,131.356,386.7,100,326.2,164.3,D,1569930600
-14.137,131.367,370.3,100,324.5,94.7,D,1569930600
-14.127,131.375,411.9,100,327.6,316.1,D,1569930600
-14.12,131.354,382.5,100,323.2,145.4,D,1569930600
-15.52,134.521,343.6,83,320.9,23.9,D,1569930600
-13.296,132.304,339.8,69,320.1,13,D,1569930600
-15.512,134.671,337.8,43,320.1,14.3,D,1569930600
-15.499,134.663,343.6,85,318.8,28,D,1569930600
-15.482,134.587,389.4,100,319.9,195.1,D,1569930600
-15.586,135.107,339.1,47,318,18.8,D,1569930600
-15.506,134.365,381.8,100,310.7,161.1,D,1569930600
-15.555,134.836,341.2,78,319.3,20.9,D,1569930600
-15.506,134.488,439.1,100,326.8,629.2,D,1569930600
-15.493,134.641,339.3,79,314.1,19.4,D,1569930600
-15.485,134.63,349.4,91,318.1,42,D,1569930600
-15.521,134.388,367.9,100,312.9,99.2,D,1569930600
-15.496,134.774,340.3,71,323,19.7,D,1569930600
-15.571,135.082,339.7,38,318.2,16.9,D,1569930600
-15.488,134.609,347.5,89,318.8,37.2,D,1569930600
-15.517,134.479,374.7,100,315.5,123.4,D,1569930600
-15.5,134.528,385.1,100,321.4,165.3,D,1569930600
-15.594,134.447,344.9,86,315,32.2,D,1569930600
-15.565,134.452,345.4,50,317.8,29.2,D,1569930600
-15.566,134.442,345.6,87,316.2,34.6,D,1569930600
-15.548,135.1,337.1,59,317.7,14,D,1569930600
-15.515,134.367,339.4,79,307.8,27.8,D,1569930600
-15.519,134.531,362.7,100,323,72.8,D,1569930600
-14.142,131.396,340.9,81,321,20,D,1569930600
-15.509,134.406,355.7,96,309.8,62,D,1569930600
-15.481,134.525,339,22,316.5,21.8,D,1569930600
-14.112,131.344,370.7,100,318.1,101.3,D,1569930600
-15.64,135.099,338.5,52,321,15.8,D,1569930600
-15.52,134.398,344.4,82,311.1,32.6,D,1569930600
-15.608,134.778,336.7,74,321.2,10.6,D,1569930600
-15.503,134.508,396.2,100,321.8,231.5,D,1569930600
-14.131,131.346,480.6,100,400.1,1219.5,D,1569930600
-13.461,132.435,357.6,98,323.7,52.4,D,1569930600
-15.48,134.597,400.5,100,319,265.3,D,1569930600
-15.557,134.441,335.7,57,315.9,16.2,D,1569930600
-15.502,134.643,399,100,324.5,252.6,D,1569930600
-15.508,134.665,363,100,325,78.9,D,1569930600
-15.68,134.684,342.6,83,316.6,24.6,D,1569930600
-14.125,131.384,342.5,82,318.9,21.3,D,1569930600
-13.287,132.302,377.1,100,322.6,112.8,D,1569930600
-13.285,132.312,352.8,92,323.8,36.1,D,1569930600
-13.297,132.295,341,77,318.5,16.8,D,1569930600
-13.283,132.33,341.5,78,322.2,14.1,D,1569930600
-14.132,131.337,478.1,100,400.1,1173.6,D,1569930600
-15.522,134.511,342.2,78,317.7,21.5,D,1569930600
-14.128,131.365,400.7,100,327.9,240.6,D,1569930600
-15.504,134.375,400.2,94,308.2,264.1,D,1569930600
-15.529,134.811,334.8,34,318.3,10.4,D,1569930600
-15.51,134.396,341.2,67,302.4,27.8,D,1569930600
-15.512,134.387,372.6,94,299.4,117.1,D,1569930600
-15.683,135.074,336.4,43,320,11.1,D,1569930600
-15.508,134.54,373.4,100,322.4,107.2,D,1569930600
-15.54,134.802,364.6,100,322.7,82.9,D,1569930600
-15.486,134.619,361,100,321,73.6,D,1569930600
-15.483,134.515,364.4,100,320,85.8,D,1569930600
-15.59,134.663,337.7,58,320.3,13.3,D,1569930600
-15.516,134.551,343.1,81,320.8,21.2,D,1569930600
-15.678,134.695,356.3,97,319.6,57.2,D,1569930600
-15.596,135.108,337.3,44,318.6,15.4,D,1569930600
-15.514,134.661,340.8,75,324.4,18.6,D,1569930600
-13.276,132.314,380.6,100,323.9,125.9,D,1569930600
-13.288,132.293,449,100,340.4,671.1,D,1569930600
-13.289,132.284,380,100,324.6,127,D,1569930600
-13.284,132.321,373.4,100,325.5,96.1,D,1569930600
-15.51,134.654,362.1,100,329.5,75.4,D,1569930600
-13.279,132.296,380.8,100,318.5,131.7,D,1569930600
-14.138,131.357,390.3,100,324.7,180.6,D,1569930600
-15.501,134.653,423.9,100,328.9,463.2,D,1569930600
-13.465,132.407,343,74,320.8,19.8,D,1569930600
-14.123,131.336,447.3,100,336.2,683,D,1569930600
-13.013,132.543,377.4,100,322,118.6,D,1569930600
-13.012,132.552,376.1,100,324.8,111.3,D,1569930600
-13.011,132.561,369.8,100,327.1,85.6,D,1569930600
-13.009,132.571,361.2,100,326.8,60.2,D,1569930600
-12.452,136.583,331.9,74,308.3,34.6,D,1569930600
-12.453,136.577,328.8,68,308.4,26.3,D,1569930600
-12.906,130.493,349.8,92,309.3,49.9,D,1569930600
-12.466,135.621,367.9,100,314,138.3,D,1569930600
-12.481,135.661,338.9,57,312.6,29.2,D,1569930600
-12.489,135.676,355.6,97,315.4,81.6,D,1569930600
-12.496,135.684,341.3,85,315.8,32.2,D,1569930600
-12.533,135.652,339.4,84,315.3,27.9,D,1569930600
-12.408,134.488,374.7,100,310.9,144.4,D,1569930600
-12.417,134.49,364.7,100,309.5,102.1,D,1569930600
-12.419,134.479,334.8,46,309.5,19.7,D,1569930600
-12.409,134.478,371.7,100,311.4,128.8,D,1569930600
-12.406,134.482,363.6,100,313.8,97.2,D,1569930600
-12.907,130.553,342.4,72,311.9,32.3,D,1569930600
-12.581,132.09,338.3,68,317.5,12.7,D,1569930600
-12.58,132.099,344,86,317.9,23.2,D,1569930600
-12.462,132.478,336.6,66,311.9,14.9,D,1569930600
-12.46,132.487,352.8,95,317.8,45.2,D,1569930600
-12.471,132.48,342.5,82,316.7,24.6,D,1569930600
-12.469,132.489,358.8,99,323.3,59.2,D,1569930600
-12.468,132.498,345.2,88,318.8,27,D,1569930600
-12.478,132.49,350.5,93,320,38.7,D,1569930600
-12.909,130.543,341.9,66,311.2,32,D,1569930600
-12.609,135.746,344,88,312.2,49.5,D,1569930600
-12.607,135.759,338,82,312.7,33.9,D,1569930600
-12.616,135.773,342.9,87,312.3,48.4,D,1569930600
-12.136,136.331,334.2,77,308.1,32.9,D,1569930600
-12.167,136.28,333.4,77,309,34.3,D,1569930600
-12.164,136.294,328.9,68,310.2,23.8,D,1569930600
-13.045,130.418,337,70,310.8,17.5,D,1569930600
-13.056,130.339,332.6,61,309.8,12.4,D,1569930600
-16.066,136.413,335.7,51,317.1,15.9,D,1569930600
-13.027,130.345,331,46,308.6,9.4,D,1569930600
-12.723,135.888,356.8,98,313,99.3,D,1569930600
-12.721,135.901,332.9,74,310.3,24.9,D,1569930600
-12.748,135.898,328.4,40,312.1,14.4,D,1569930600
-12.124,136.474,328.1,66,309,24.8,D,1569930600
-12.333,136.463,331.1,41,312.1,22.4,D,1569930600
-12.624,136.445,331.8,73,310.2,28.9,D,1569930600
-12.626,136.431,328.2,56,310.6,20.4,D,1569930600
-12.613,136.443,329.6,68,310.3,24.1,D,1569930600
-12.984,132.492,382.8,100,317.6,148.4,D,1569930600
-12.983,132.501,391.7,100,320.1,189.3,D,1569930600
-12.977,132.538,358.5,98,324.4,56.1,D,1569930600
-12.994,132.484,364.8,100,312.1,80.9,D,1569930600
-12.993,132.493,398.8,100,323.1,227.7,D,1569930600
-12.992,132.502,360.7,100,320.1,67.9,D,1569930600
-12.99,132.511,341.1,55,318.2,22.1,D,1569930600
-12.989,132.521,345.9,80,320.4,30.2,D,1569930600
-12.988,132.53,356.3,91,323.6,49.6,D,1569930600
-12.986,132.539,397.1,100,329.6,206.7,D,1569930600
-12.985,132.548,358.2,68,324.7,47.9,D,1569930600
-12.984,132.557,354.2,52,325.8,39.1,D,1569930600
-12.982,132.567,348.9,31,324.4,28.7,D,1569930600
-13.001,132.504,339.3,79,314.8,19.5,D,1569930600
-12.999,132.513,356.1,97,318.8,50.8,D,1569930600
-12.998,132.522,347.5,85,319.3,32.5,D,1569930600
-12.997,132.531,348,79,319.5,32.3,D,1569930600
-12.995,132.54,386.1,100,325.2,153.2,D,1569930600
-13.008,132.514,411.8,100,321.4,308.8,D,1569930600
-13.007,132.523,386.4,100,319.9,159.3,D,1569930600
-13.006,132.532,356.9,97,318.8,51.6,D,1569930600
-13.004,132.542,347.3,70,319.9,29.3,D,1569930600
-13,132.569,372.9,100,328.7,96.8,D,1569930600
-13.016,132.525,333.9,30,310.5,9.5,D,1569930600
-13.015,132.534,357.1,98,315.2,55.8,D,1569930600
-11.817,130.933,333.1,76,313,17.3,D,1569930600
-14.298,129.911,337.5,42,320.1,13,D,1569930600
-14.299,129.9,338.8,46,320.3,16.2,D,1569930600
-14.247,129.897,339,49,318.7,19.8,D,1569930600
-12.293,133.063,338.3,42,320.5,17.4,D,1569930600
-12.221,133.671,336.9,59,312.1,21.8,D,1569930600
-12.084,134.261,329,54,307.7,12.7,D,1569930600
-12.457,132.761,336.1,62,320.8,11,D,1569930600
-12.416,132.726,333.6,70,318.2,8.2,D,1569930600
-12.406,132.734,352.1,94,316.5,41.6,D,1569930600
-13.864,132.896,353.7,95,322.5,43.3,D,1569930600
-14.125,129.831,337.5,30,313.8,20.1,D,1569930600
-13.867,132.877,337.3,71,320.7,11.6,D,1569930600
-13.868,132.868,335.6,37,320,8.6,D,1569930600
-13.856,132.885,361.9,100,323.4,63.6,D,1569930600
-13.858,132.876,363.4,100,323.6,68.2,D,1569930600
-13.859,132.867,381.2,100,326.3,131.3,D,1569930600
-13.86,132.857,372.5,100,322.8,97.6,D,1569930600
-13.862,132.848,358.4,98,321.1,55.2,D,1569930600
-13.849,132.874,393.4,100,327.1,191.5,D,1569930600
-13.85,132.865,447.2,100,400.1,656.1,D,1569930600
-13.851,132.856,474,100,400.1,1060.5,D,1569930600
-13.853,132.847,420.9,100,331.6,380.4,D,1569930600
-12.071,134.264,327.2,37,308,12.1,D,1569930600
-13.854,132.837,351.9,93,316.4,41.9,D,1569930600
-13.845,132.83,343.2,84,317.3,24.1,D,1569930600
-12.072,134.253,336.2,77,309.9,26.1,D,1569930600
-12.074,134.243,334.4,71,309.8,21.3,D,1569930600
-12.063,134.252,334.4,72,309.6,23.8,D,1569930600
-12.064,134.241,339.9,82,309.9,33.4,D,1569930600
-12.396,132.742,363.8,100,319.1,71.4,D,1569930600
-12.397,132.732,399.2,100,329.3,226.2,D,1569930600
